PLANTID,CODE,URL,TIÊU ĐỀ,TÊN KHOA HỌC,TÊN GỌI,TÊN GỌI KHÁC,TÊN TIẾNG ANH,GIÁ,MÔ TẢ,QUY CÁCH SẢN PHẨM,ĐỘ KHÓ,YÊU CẦU ÁNH SÁNG,NHU CẦU NƯỚC,KÍCH THƯỚC CÂY,LOẠI HẠT,CHẤT LIỆU CHẬU,MÀU SẮC,ĐỘ PH CỦA ĐẤT,LỌC KHÔNG KHÍ,TƯỚI NƯỚC,XUẤT XỨ,NGƯỜI LAI TẠO,ĐẶC TÍNH PHÁT TRIỂN,KÍCH CỠ BÔNG,KIỂU CÁNH,MÙI HƯƠNG,ĐỘ LẶP,ĐỘ BỀN HOA,ĐỘ THOÁT NƯỚC,NƠI ĐỂ TRỒNG,LƯỢNG NẮNG CẦN THIẾT,KHẢ NĂNG KHÁNG BỆNH,YÊU CẦU CHĂM SÓC,HỌ THỰC VẬT,CHIỀU CAO,ĐƯỜNG KÍNH GỐC,HỌ,ĐƯỜNG KÍNH THÂN
CCNPLT0758,,https://mowgarden.com/cay-chum-ruot-chau-uom-frui018/,Cây chùm ruột chậu ươm FRUI018,,,Chùm ruột,,280000,"Giống cây đang được rất nhiều người biết đến, đặc biệt cây thích nghi được tất cả khí hậu vùng miền.",,Rất dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 120 – 130 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0759,frui017,https://mowgarden.com/cay-luu-an-do-chau-uom-frui017/,Cây lựu Ấn Độ chậu ươm FRUI017,,,Lựu đỏ Ấn Độ,,280000,"Vỏ trái màu đỏ toàn phần. Hạt màu đỏ thẩm. Độ ngọt cao, ổn định, thơm ngon, và giàu dinh dưỡng.",,Rất dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 60 – 70 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0760,FRUI016,https://mowgarden.com/cay-nho-than-go-12-vu-chau-uom-frui016/,Cây nho thân gỗ 12 vụ chậu ươm FRUI016,,,Cây nho thân gỗ 12 vụ,,250000,"Nho thân gỗ có trái màu đỏ, vị ngọt thanh mát, nhiều nước. Có thể dùng ăn sống hoặc dùng làm mứt hoặc để lên men làm rượu, còn trái khô có thể dùng để chữa bệnh hen và tiêu chảy.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 20 – 30 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0761,FRUI015,https://mowgarden.com/cay-oi-ruot-do-tan-chau-chau-uom-frui015/,Cây ổi ruột đỏ Tân Châu chậu ươm FRUI015,,,Cây ruột đỏ Tân Châu,,220000,"Ổi ruột đỏ Tân Châu rất giàu chất dinh dưỡng, đặc biệt là vitamin C giúp tăng cường sức đề kháng, hỗ trợ giảm cân và làm đẹp da, khi chín có ruột đỏ hồng vô cùng bắt mắt, ruột đặc rất ít hạt, khi ăn rất giòn, thơm và ngọt.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 60 – 80 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0762,FRUI014,https://mowgarden.com/cay-oi-tim-malaysia-chau-uom-frui014/,Cây ổi tím Malaysia chậu ươm FRUI014,,,Cây ổi tím Malaysia,,180000,"Trái ổi tím Malaysia khi chín phần ruột sẽ mềm, có hạt, vị ngọt thanh và có hương thơm đặc trưng. Ngoài việc trồng để ăn trái ra thì giống ổi tím còn được trồng để trang trí cảnh quan, do màu lá bắt mắt.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 40 – 60 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0763,FRUI013,https://mowgarden.com/cay-chanh-bac-chau-uom-frui013/,Cây chanh bắc chậu ươm FRUI013,,,Cây chanh bắc,,140000,"Cây chanh bắc có quả không lớn, nhưng lại rất sai quả và lá được sử dụng làm gia vị quen thuộc trong gia đình Việt. Cây chanh bắc rất được ưa chuông để trồng sân vườn, sân thượng và ban công.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 40 – 60 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0764,FRUI011,https://mowgarden.com/cay-cherry-brazil-chau-uom-frui011/,Cây cherry Brazil chậu ươm FRUI011,,,Cây cherry Brazil,,280000,"Cây cherry Brazil là loại cherry nhiệt đới phù hợp với khí hậu tại Việt Nam. Cây được ưa chuộng trồng để trang trí sân vườn, sân thượng… nó loại cây có quả nhỏ, ngọt và giàu Vitamin.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 40 – 60 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0765,BGTL001,https://mowgarden.com/cay-bong-giay-thai-ghep-mix-mau-chau-uom-bgtl001/,Cây bông giấy thái ghép mix màu chậu ươm BGTL001,,,Cây bông giấy Thái,,480000,"Cây hoa giấy Thái rất thích hợp với khí hậu tại VN, nó là loại cây ưa nắng ấm, cần nhiều ánh sáng.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 100 – 140 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0766,FRUI010,https://mowgarden.com/cay-sung-my-masui-dauphine-b5-chau-uom-frui010/,Cây sung Mỹ Masui Dauphine B5 chậu ươm FRUI010,,,Cây sung Mỹ Masui Dauphine B5,,280000,"Cây sung Mỹ rất thích hợp với khí hậu tại VN, nó là loại cây ưa nắng ấm, cần nhiều ánh sáng. Cây cho trái to, ăn nhiều mật nhiều hơn những dòng phổ thông các và có độ mọng và thơm, rất giàu dinh dưỡng.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 20 – 30 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0767,FRUI009,https://mowgarden.com/cay-oi-le-dai-loan-chau-uom-frui009/,Cây ổi lê Đài Loan chậu ươm FRUI009,,,Cây ổi lê Đài Loan,,180000,"Cây ổi lê Đài Loan cho trái tựa hình quả Lê, giòn giòn thơm ngon, vị ngọt mát, cùi dầy, rất ít hạt và hạt mềm, quả to trung bình 3 quả/kg. Cây rất dễ trồng, không kén đất và có thời gian cho trái sớm với tỷ lệ đậu trái cao, cho thu hoạch quanh năm.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 90 – 100 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0768,FRUI008,https://mowgarden.com/cay-coc-thai-lan-chau-uom-frui008/,Cây cóc Thái Lan trái nhỏ chậu ươm FRUI008,,,Cây cóc Thái,,250000,"Trái Cóc Thái nhỏ so với Cóc Ta,có thể ăn được trái non lẫn trái già đều được. Nếu ăn trái non thì hạt cóc rất mềm và nhỏ, khi trái già sẽ có hạt. Vị cóc Thái hơi chua và giòn, rất giàu Vitamin.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 80 – 90 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0769,FRUI007,https://mowgarden.com/cay-vu-sua-lo-ren-chau-uom-frui007/,Cây vú sữa Lò Rèn chậu ươm FRUI007,,,Cây vú sữa hoàng kim,,90000,Cây vú sữa hoàng kim là loại cây ăn tái thích hợp trồng nơi có nhiều ánh sáng và thoáng mát như sân vườn để tạo bóng mát và để lấy trái. Cây cần được tưới nước thường xuyên để luôn xanh tốt.,,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 50 – 60 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0770,FRUI006,https://mowgarden.com/cay-vu-sua-hoang-kim-chau-uom-frui006/,Cây vú sữa hoàng kim chậu ươm FRUI006,,,Cây vú sữa hoàng kim,,300000,Cây vú sữa hoàng kim là loại cây ăn tái thích hợp trồng nơi có nhiều ánh sáng và thoáng mát như sân vườn để tạo bóng mát và để lấy trái. Cây cần được tưới nước thường xuyên để luôn xanh tốt.,,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 50 – 60 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0771,FRUI005,https://mowgarden.com/cay-chanh-cam-thach-chau-uom-frui005/,Cây chanh cẩm thạch chậu ươm FRUI005,,,Cây chanh cẩm thạch,,250000,Cây mận đỏ An Phước là loại cây ăn tái thích hợp trồng nơi có nhiều ánh sáng và thoáng mát như sân vườn để tạo bóng mát và để lấy trái. Cây cần được tưới nước thường xuyên để luôn xanh tốt.,,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 60 – 70 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0772,FRUI004,https://mowgarden.com/cay-man-do-an-phuoc-chau-uom-frui004/,Cây mận đỏ An Phước chậu ươm FRUI004,,,Cây mận đỏ an phước,,160000,Cây mận đỏ An Phước là loại cây ăn tái thích hợp trồng nơi có nhiều ánh sáng và thoáng mát như sân vườn để tạo bóng mát và để lấy trái. Cây cần được tưới nước thường xuyên để luôn xanh tốt.,,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 60 – 70 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0773,FRUI003,https://mowgarden.com/cay-man-xanh-tam-hoa-chau-uom-frui003/,Cây mận xanh tam hoa chậu ươm FRUI003,,,Cây mận xanh tam hoa,,200000,Cây mận xanh tam hoa là loại cây ăn tái thích hợp trồng nơi có nhiều ánh sáng và thoáng mát như sân vườn để tạo bóng mát và để lấy trái. Cây cần được tưới nước thường xuyên để luôn xanh tốt.,,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 40 – 60 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0774,FRUI002,https://mowgarden.com/cay-chanh-vang-my-eureka-chau-uom-frui002/,Cây chanh vàng mỹ Eureka chậu ươm FRUI002,,,Cây chanh vàng Mỹ,,250000,Cây chanh vàng loại cây có múi thích hợp trồng nơi có nhiều ánh sáng và thoáng mát như sân vườn để tạo bóng mát và để lấy trái. Cây cần được tưới nước thường xuyên để luôn xanh tốt.,,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 40 – 60 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0775,FRUI001,https://mowgarden.com/cay-buoi-da-xanh-chau-uom-frui001/,Cây bưởi da xanh chậu ươm FRUI001,,,Cây bưởi da xanh,,250000,"Cây bưởi da xanh loại cây có múi được trồng rất phổ biến tại nước ta, thích hợp trồng nơi có nhiều ánh sáng và thoáng mát như sân vườn để tạo bóng mát và để lấy trái. Cây cần được tưới nước thường xuyên để luôn xanh tốt.",,Rất dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 60 – 80 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0776,CHPD002,https://mowgarden.com/cay-huyet-phat-du-chau-gom-de-ban-chpd002/,Cây huyết phất dụ chậu sứ để bàn CHPD002,Cordyline fruticosa,Cây ánh dương,,,350000,"Là cây thân gỗ mọc theo bụi thường xanh, dáng thân và tán lá rất đẹp thu hút người nhìn.","• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng 40 – 50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0777,,https://mowgarden.com/cay-mai-xanh-thai-lan/,Cây Mai Xanh Thái Lan Petrea volubilis,Petrea volubilis,,Mai Xanh Thái,,125000,"Mặc dù được gọi Mai Thái Xanh nhưng lại có hoa màu tím lavender đầy lãng mạn và cuốn hút. Giống cây này dù chỉ mới được du nhập về Việt Nam vài năm gần đây nhưng đã nhanh chóng được nhiều người ưu chuộng lựa chọn, bởi không chỉ có sức sống khỏe, phát triển nhanh, ít sâu bệnh, lại còn rất sai hoa và lâu tàn.",,Rất dễ chăm sóc,Nắng trực tiếp,Tưới nước mỗi ngày,"Chậu C7: 60 – 120cm
Chậu C8: 120 – 180cm
Chậu C10: 120 – 200cm
Chậu C11: 160 – 220cm
Chậu C12: 160 – 240cm
Chậu C13: 240 – 320cm
Chậu C15: 240 – 320cm",,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0778,,https://mowgarden.com/cay-bang-dai-loan-cam-thach-chau-xi-mang-bubu003/,Cây bàng Đài Loan cẩm thạch chậu xi măng BUBU003,Bucida Buceras Variegated,,Bàng Đài Loan cẩm thạch,,550000,"Cây Bàng Đài Loan Cẩm Thạch có lá nhỏ xinh và sắc xanh, viền trắng hồng rất khác biệt và nổi bật, giúp không gian trở nên độc đáo và sang trọng","• Kích thước chậu: 30×30 cm (DxC)
• Chiều cao tổng: 80 – 100 cm",Dễ chăm sóc,Nắng trực tiếp / Nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0779,HIBI001,https://mowgarden.com/cay-hoa-dam-but-thai/,Cây hoa dâm bụt Thái chậu ươm HIBI001,Hibiscus rosa-senensis,,Hoa dâm bụt Thái,,100000,Đế,Chiều cao: 30 – 40cm,Dễ chăm sóc,Nắng trực tiếp (thời lượng 6–8h/ngày),Tưới nước hằng ngày,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0780,MURA001,https://mowgarden.com/cay-hoa-nguyet-que/,Cây hoa nguyệt quế chậu ươm MURA001,Murraya paniculata,Cây nguyệt quế,,,250000,"Cây hoa nguyệt quế loại cây trồng hàng rào rất phổ biến bởi nó có sức sống rất mãnh liệt, không cần tốn nhiều công chăm sóc mà vẫn xanh tốt. Cây ắc ó thuộc loại thân gỗ lớn, sống lâu năm, có hoa rất thơm.",Chiều cao 80 – 100 cm,Rất dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0781,HYME001,https://mowgarden.com/cay-bach-trinh-bien-chau-uom-nho-hyme001/,Cây bạch trinh biển chậu ươm nhỏ HYME001,Hymenocallis littoralis,Cây bạch trinh biển,,,15000,"Cây bạch trinh biển là loài cây có sức sống mạnh liệt, liên tục phát triển nhánh mới, ra hoa trắng xinh quanh năm và sống lâu năm nên thường được chọn để trồng tạo cảnh quan xanh mát.",Chiều cao 10 – 15 cm,Rất dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0782,WRIG001,https://mowgarden.com/cay-mai-chi-thien/,Cây mai chỉ thiên nhỏ chậu ươm WRIG001,,Cây mai chỉ thiên,,Wrighta antidysenterica,40000,"Cây thường xuân có bộ lá xanh tươi tốt, hình dáng ấn tượng giúp mang lại không gian xanh mát. Đây là dòng cây dễ chăm đang là “trend” được nhiều người lựa chọn trồng trang trí vườn rất đẹp.",,Dễ chăm sóc,Nhiều ánh sáng / Nắng trực tiếp,"Nhiều nước, 1 lần/ngày",Chiều cao 40cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0783,,https://mowgarden.com/cay-tram-bong-do/,Cây Tràm Bông Đỏ,"Callistemon citrinus, Callistemon lanceolatus",,"Tràm liễu, Tràm bông đỏ, Liễu đỏ",,800000,,,,,,,,,,,,,,,,,,,,,,,,,,Myrtaceae (Sim),2 – 4 m,,,
CCNPLT0784,,https://mowgarden.com/cay-truc-quan-tu/,Cây Trúc Quân Tử Bambusa multiplex,Bambusa multiplex,,Trúc quân tử,,125000,"Trúc Quân Tử là một loại cây ngoại cảnh được trồng thành khóm để trang trí sân vườn, hàng rào, sát tường hoặc dọc lối đi vào nhà giúp tạo không gian xanh mát, tô điểm thêm cho ngôi nhà và mang những ý nghĩa tốt đẹp trong phong thủy.",,Rất dễ chăm sóc,Nắng trực tiếp,Tưới nước mỗi ngày,"Cỡ trung: 180 – 220 cm
Cớ lớn: 240 – 300 cm",,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0785,ACAN001,https://mowgarden.com/cay-ac-o-trong-hang-rao/,Cây ắc ó trồng hàng rào chậu ươm nhỏ ACAN001,Acanthus integrifolius,Cây ắc ó,,,5000,"Cây ắc ó là loại cây trồng hàng rào rất phổ biến bởi nó có sức sống rất mãnh liệt, không cần tốn nhiều công chăm sóc mà vẫn xanh tốt. Cây ắc ó thuộc loại thân gỗ nhỏ, có chiều cao trung bình từ 1 – 2m, là màu xanh bóng rất đẹp mắt.",Chiều cao 20 – 30 cm,Rất dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0786,JASM001,https://mowgarden.com/cay-hoa-lai-ta-chau-uom-nho/,Cây hoa lài ta chậu ươm nhỏ JASM001,Jasminum sambac Ait,Cây hoa lài ta / hoa nhài ta,,,50000,"Cây lài ta loại cây trồng hàng rào rất phổ biến bởi nó có sức sống rất mãnh liệt, không cần tốn nhiều công chăm sóc mà vẫn xanh tốt. Cây ắc ó thuộc loại thân gỗ nhỏ, có chiều cao trung bình từ 1 – 2m, là màu xanh bóng rất đẹp mắt.",Chiều cao 35 – 40 cm,Rất dễ chăm sóc,Nắng tán xạ,"Ít nước, 2 – 3 lần/tuần",,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0787,,https://mowgarden.com/cay-tuyet-son-phi-hong-co-trung-chau-uom-leuc002/,Cây tuyết sơn phi hồng cỡ trung chậu ươm LEUC002,Leucophyllum frutescens,,Cây tuyết sơn phi hồ,,180000,"Tuyết sơn phi hồ là loại cây cho ra hoa màu hồng đậm, rất sai hoa, chịu được nắng nóng, thường ra hoa vào mùa xuân, mùa hè tới mùa thu. Tùy vào mức độ già mà cây có thể ra hoa 1 – 2 tháng/ lần.",,Dễ chăm sóc,Nắng trực tiếp / Nắng tán xạ,Tưới nước 1 lần/ngày,Chiều cao 50 – 60 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0788,,https://mowgarden.com/cay-chuoi-ngoc/,Cây Chuỗi Ngọc,Duranta repens,,"Cây chuỗi ngọc, cây chuỗi ngọc vàng, cây thanh quan, cây rìa xanh, cây dâm xanh, cây Chim chích, Cây chuỗi xanh",,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 – 3 m,,,
CCNPLT0789,,https://mowgarden.com/cay-bo-cap-vang/,Cây Bò Cạp Vàng,Cassia fistula L,,"Bò Cạp Vàng, Bò cạp nước, Muồng Hoàng yến, Lồng đèn, Hoàng hậu (hạ), Mai dây, Cây xuân muộn, Mai nở muộn",,4500000,,,,,,,,,,,,,,,,,,,,,,,,,,Caesalpinioideae (họ Vang) phân họ của họ Đậu (Fabaceae),4 – 6m,15 – 20cm,,
CCNPLT0790,,https://mowgarden.com/cay-buom-hong/,Cây Bướm Hồng,Mussaenda erythrophylla (rosea),,"Cây bướm hồng, cây hoa én hồng, cây hoa bướm bướm hồng",,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3 –  0,5 m",,,
CCNPLT0791,,https://mowgarden.com/co-nhung-nhat/,Cỏ Nhung Nhật,Zoysia japonoca,,Cỏ nhung Nhật / Cỏ thảm,,50000,"Cỏ nhung Nhật là loại cỏ thảm thường được sử dụng cho sân vườn biệt thự, sân vận động, công viên, khu vui chơi,… Loại cỏ này có đặc điểm lá rất mềm mịn, tuy nhỏ nhưng gây kích ứng, rất thân thiện với con người.",100×100 cm (một mét vuông),Dễ chăm sóc,Ngoài trời,Tưới nước mỗi ngày,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0792,,https://mowgarden.com/cay-ken-hong/,Cây Kèn Hồng,Tabebuia rosea,,,,1050000,,,,,,,,,,,,,,,,,,,,,,,,,,,3 – 5 m,10 – 12 cm,Bignoniaceae ( Đinh),
CCNPLT0793,,https://mowgarden.com/cay-cuc-tan-an-do/,Cây Cúc Tần Ấn Độ Vernonia elliptica,Vernonia elliptica,,Cúc tần ấn độ,,25000,"Cúc Tần Ấn Độ là loại cây dây leo thân mềm có sức sống mạnh mẽ, phát triển nhanh và ít sâu bệnh. Rất thích hợp để trồng tạo cảnh quan trên ban công, sân thượng, cao tầng… Với tác dụng như tấm màn che tự nhiên, tô điểm cho ngôi nhà thêm xanh tươi, mát mẻ và trong lành hơn.",,Rất dễ chăm sóc,Nắng trực tiếp,Tưới nước mỗi ngày,"• Cỡ nhỏ: Cao 60 – 80 cm
• Cỡ trung: Cao 80 – 100 cm
• Cỡ lớn: Cao 100 – 120 cm",,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0794,,https://mowgarden.com/cay-chuong-vang/,Cây Chuông Vàng,Tabebuia argentea,,Cây chuông vàng,,1800000,,,,,,,,,,,,,,,,,,,,,,,,,,Bignoniaceae (Núc nác),2.5 – 3.5 m,,,8 – 10 cm
CCNPLT0795,FICU059,https://mowgarden.com/cay-da-tam-phuc-mot-than-chau-uom-ficu059/,Cây đa tam phúc một thân chậu ươm FICU059,,,,,380000,Ficus Triangularis Variegata còn gọi là Si Thái cẩm thạch hay Đa tam phúc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0796,FRUI012,https://mowgarden.com/cay-chanh-day-chau-uom-frui012/,Cây chanh dây chậu ươm FRUI012,,,Cây chanh dây,,140000,"Cây chanh dây (chanh leo) là loại dây leo phát triển rất mạnh, khi trái chín sẽ chuyển từ màu xanh sang vào tím tía, có vị ngọt nhẹ hơi chua.",,Dễ chăm sóc,Nắng trực tiếp,Tưới nước 1 lần/ngày,Chiều cao 60 – 80 cm,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0797,,https://mowgarden.com/day-cuc-tan-an-do-day-doi-ten-day-bac-dau-bau-duc/,Dây Cúc Tần Ấn Độ/ Dây Dọi Tên/ Dây Bạc Đầu Bầu Dục,,,,,55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0798,,https://mowgarden.com/day-thien-ly-hoa-da-ly-huong-cao-70-cm/,Dây Thiên Lý/ Hoa Dạ Lý Hương – Cao 70 Cm,,,,,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0799,,https://mowgarden.com/day-su-quan-tu-cay-trang-leo/,Dây Sử Quân Tử/ Cây Trang Leo,,,,,330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0800,,https://mowgarden.com/day-tigon-cao-80-cm/,Dây Tigon – Cao 80 Cm,,,,,138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0801,,https://mowgarden.com/day-than-lan-bam-tuong/,Dây Thằn Lằn Bám Tường,,,,,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNPLT0802,,https://mowgarden.com/day-hong-anh-cao-36cm/,Dây Hồng Anh – Cao 36cm,,,,,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
